symbol	length	Control_D0	Control_D1	AARS_D0	AARS_D1
ENSG00000000003.10	2181.90	958.00	1824.00	4027.00	2765.00
ENSG00000000419.8	1080.01	727.00	1415.00	2184.00	1590.00
ENSG00000000457.9	3958.66	45.00	106.00	252.00	208.00
ENSG00000000460.12	2975.66	176.00	376.00	560.00	430.00
ENSG00000000971.11	2615.17	0.00	0.00	0.00	0.00
ENSG00000001036.9	2309.84	1402.00	3117.00	5175.00	3514.00
ENSG00000001084.6	3163.86	525.00	1136.00	2180.00	1468.00
ENSG00000001167.10	3332.29	513.00	1175.00	2159.00	1325.00
ENSG00000001460.13	2182.45	37.00	76.00	152.00	110.00
ENSG00000001461.12	4088.85	109.00	202.00	560.00	392.00
ENSG00000001497.12	2474.31	355.00	750.00	1143.00	822.00
ENSG00000001561.6	4651.00	1.00	5.00	12.00	9.00
ENSG00000001617.7	2350.47	146.00	413.00	603.00	496.00
ENSG00000001629.5	4617.49	459.00	895.00	1690.00	1178.00
ENSG00000001630.11	3053.62	1985.97	3862.99	7067.89	5515.92
ENSG00000001631.10	2255.45	258.68	541.54	903.00	651.45
ENSG00000002016.12	1498.65	92.00	205.05	381.04	307.39
ENSG00000002079.8	2601.39	3.00	5.00	13.00	7.00
ENSG00000002330.9	948.12	39.00	94.00	142.00	129.00
ENSG00000002549.8	1849.29	801.00	1690.00	3103.00	2069.00
ENSG00000002586.13	1198.34	646.00	1726.00	2581.00	2041.00
ENSG00000002746.10	2139.27	0.00	0.00	1.00	0.00
ENSG00000002822.11	2042.52	136.00	324.00	476.00	405.00
ENSG00000002834.13	3970.72	2452.00	5975.00	11866.00	8641.00
ENSG00000002919.10	1926.32	148.00	304.00	537.00	356.00
ENSG00000003056.3	2335.15	959.00	2058.00	4112.00	2895.00
ENSG00000003096.9	2353.00	5.00	11.00	12.00	10.00
ENSG00000003137.4	3841.23	7.00	14.00	30.00	12.00
ENSG00000003147.13	540.62	0.00	1.00	2.00	4.00
ENSG00000003249.9	2072.50	243.00	672.00	1199.00	933.00
ENSG00000003393.10	5624.65	428.00	986.00	1945.00	1349.00
ENSG00000003400.10	3859.92	250.00	552.00	1123.00	754.00
ENSG00000003402.15	3040.99	702.00	1602.00	2584.00	1766.00
ENSG00000003436.10	1888.65	2615.00	5125.00	11631.00	8060.00
ENSG00000003509.11	1742.94	217.00	496.00	894.00	646.00
ENSG00000003756.12	1970.98	965.00	1980.60	3736.00	2811.00
ENSG00000003987.9	569.00	1.00	0.00	1.00	1.00
ENSG00000003989.12	7470.37	1621.00	3419.00	5356.00	4326.00
ENSG00000004059.6	965.51	254.00	754.00	1206.48	988.00
ENSG00000004139.9	4165.15	6.00	22.00	50.00	31.00
ENSG00000004142.7	2182.73	766.00	1968.00	2437.00	1711.00
ENSG00000004399.8	2176.64	612.00	1756.00	3312.00	2758.00
ENSG00000004455.12	1441.97	1211.33	2777.46	4010.52	2999.69
ENSG00000004468.8	1989.80	0.00	1.00	1.00	0.00
ENSG00000004478.5	2195.17	751.00	1755.00	2791.00	2002.00
ENSG00000004487.11	2915.01	1270.00	2860.00	4640.00	3216.00
ENSG00000004534.10	2604.09	1192.00	2579.40	4441.00	3341.00
ENSG00000004660.10	3481.45	26.00	43.00	72.00	49.00
ENSG00000004700.11	2713.23	428.00	810.00	1449.00	1001.00
ENSG00000004766.11	3453.93	138.00	346.00	628.00	461.00
ENSG00000004776.7	1267.33	0.00	2.00	1.00	0.00
ENSG00000004777.14	2728.07	35.00	162.00	145.00	157.00
ENSG00000004779.5	716.77	547.00	1392.00	2324.00	1594.00
ENSG00000004799.7	3576.00	4.00	11.00	29.00	22.00
ENSG00000004809.9	1098.64	0.00	2.00	5.00	4.00
ENSG00000004838.9	1460.49	9.00	15.00	22.00	19.00
ENSG00000004864.9	2814.33	670.00	1526.00	2446.00	1666.00
ENSG00000004866.14	2195.17	157.00	350.68	638.39	426.00
ENSG00000004897.7	3265.57	1233.00	2478.00	4358.00	2869.00
ENSG00000004939.9	4036.06	0.00	3.23	1.00	2.00
ENSG00000004961.10	1468.13	155.00	348.00	761.00	485.00
ENSG00000004975.7	2224.48	297.00	738.00	1224.00	992.00
ENSG00000005001.5	1018.29	0.00	2.00	4.00	5.00
ENSG00000005007.8	5091.19	583.00	1717.00	2444.00	2122.00
ENSG00000005020.8	3682.69	293.00	672.00	1617.00	918.00
ENSG00000005022.5	1274.00	1899.00	4651.00	7671.00	5280.00
ENSG00000005059.11	877.48	7.00	15.00	18.00	13.00
ENSG00000005073.5	2137.00	2.00	5.00	4.00	5.00
ENSG00000005075.11	773.14	219.06	483.56	758.44	552.07
ENSG00000005100.8	5050.61	655.00	1450.00	2113.00	1531.00
ENSG00000005108.11	3858.75	7.00	6.00	13.00	10.00
ENSG00000005156.7	3124.03	323.00	811.00	837.00	531.00
ENSG00000005175.5	2077.24	230.00	481.00	1090.00	644.00
ENSG00000005187.7	1057.23	231.00	542.00	1080.00	924.00
ENSG00000005189.15	2000.73	112.00	232.00	367.00	326.00
ENSG00000005194.10	1843.56	543.00	1259.99	2220.00	1473.00
ENSG00000005206.12	1833.88	103.00	326.00	469.00	449.00
ENSG00000005238.15	2728.33	44.00	133.00	301.00	231.00
ENSG00000005243.5	752.81	4.00	6.00	14.00	6.00
ENSG00000005249.8	3745.00	0.00	3.00	5.00	5.00
ENSG00000005302.13	1719.34	94.00	207.00	469.00	327.00
ENSG00000005339.8	6736.64	515.00	1371.00	2244.00	1786.00
ENSG00000005379.11	5947.00	0.00	3.00	2.00	2.00
ENSG00000005381.6	3215.00	0.00	0.00	1.00	3.00
ENSG00000005421.4	1204.39	5.00	8.00	18.06	14.00
ENSG00000005436.9	1887.29	261.00	532.00	1063.00	748.00
